Subject,Course,Section,Room,Instructor,Credits,Classes/week,Instructor preference,Instructor Time preference,Course Time preference,,Course
ACC,66000,1,"West Bldg W503,North Bldg C114","Zhao Yan Ying,Chang Philip",4,1,,,Afternoon,,ACC 66000
ACC,77700,1,"West Bldg W503,North Bldg C114","Zhao Yan Ying,Chang Philip",3,2,,,Evening,,ACC 77700
ACCP,37100,2,"West Bldg W503,North Bldg 531","Yin Yuan,Li John Qiang,Rampulla Renee",4,1,,,Afternoon,,ACCP 37100
ACCP,49000,1,"West Bldg W503,North Bldg 531","Yin Yuan,Li John Qiang,Rampulla Renee",4,2,,,Morning,,ACCP 49000
ACSK,6500,2,"ThomHunter 408,West Bldg W405,West Bldg W604,North Bldg 1516","Martin Patricia,Vielie Vanderie A,Liggins Fredericka,Benito Wilson",4,1,,,Morning,,ACSK 6500
AFPRL,20100,1,"North Bldg 405,West Bldg W113,North Bldg C108,North Bldg 404,West Bldg W407","Ramlal Derek,Lima Lazaro,Browne Anthony P,Hampton Barbara",4,1,,,Morning,,AFPRL 20100
AFPRL,29001,1,"North Bldg 405,West Bldg W113,North Bldg C108,North Bldg 404,West Bldg W407","Ramlal Derek,Lima Lazaro,Browne Anthony P,Hampton Barbara",3,2,,,Afternoon,,AFPRL 29001
AFPRL,29003,1,"North Bldg 405,West Bldg W113,North Bldg C108,North Bldg 404,West Bldg W407","Ramlal Derek,Lima Lazaro,Browne Anthony P,Hampton Barbara",3,1,,,Morning,,AFPRL 29003
AFPRL,38400,1,"North Bldg 405,West Bldg W113,North Bldg C108,North Bldg 404,West Bldg W407","Ramlal Derek,Lima Lazaro,Browne Anthony P,Hampton Barbara",4,1,,,Evening,,AFPRL 38400
AFPRL,39030,1,"North Bldg 405,West Bldg W113,North Bldg C108,North Bldg 404,West Bldg W407","Ramlal Derek,Lima Lazaro,Browne Anthony P,Hampton Barbara",4,1,,,Afternoon,,AFPRL 39030
ANTH,70256,1,"North Bldg 730,North Bldg 717,North Bldg 705","Soler Angela,Brown Jacqueline Nassy,Parry William J,Fierman Julia B,Gilbert Christopher Charles,Baden Andrea,Coleman Leo C",4,1,,,,,ANTH 70256
ANTH,70300,1,"North Bldg 730,North Bldg 717,North Bldg 705","Soler Angela,Brown Jacqueline Nassy,Parry William J,Fierman Julia B,Gilbert Christopher Charles,Baden Andrea,Coleman Leo C",4,2,,,Evening,,ANTH 70300
ANTH,72200,1,"North Bldg 730,North Bldg 717,North Bldg 705","Soler Angela,Brown Jacqueline Nassy,Parry William J,Fierman Julia B,Gilbert Christopher Charles,Baden Andrea,Coleman Leo C",3,2,,,Evening,,ANTH 72200
